,Fiscal Quarter,Bureau,Base Pay
44865,1,3,30442.86
44866,2,5,50478.40
44867,2,12,61040.00
44868,4,8,45301.68
44869,1,12,24330.32
44870,3,5,24364.33
44871,3,5,16239.13
44872,2,20,22740.48
44873,1,3,30596.00
44874,3,5,10933.86
44875,3,1,57899.62
44876,3,5,13791.62
44877,3,3,17980.21
44878,4,20,24669.27
44879,4,3,47642.88
44880,1,19,43536.00
44881,4,5,48269.86
44882,3,9,16955.31
44883,1,9,19749.22
44884,2,20,16630.58
44885,4,20,17568.30
44886,2,5,19424.72
44887,1,21,21005.80
44888,4,12,33045.60
44889,1,5,15784.54
44890,2,9,23763.56
44891,2,5,28616.32
44892,2,8,5301.38
44893,4,20,39230.44
44894,4,20,9676.90
44895,3,3,26350.98
44896,4,9,17146.54
44897,1,18,23379.18
44898,2,1,48613.98
44899,2,3,37012.22
44900,2,5,123846.80
44901,3,12,5749.66
44902,2,19,50478.40
44903,2,19,40706.56
44904,2,20,45024.00
44905,1,3,25034.80
44906,4,9,55525.18
44907,2,5,27852.20
44908,2,3,43406.94
44909,4,3,15048.90
44910,2,3,42834.42
44911,3,5,14379.57
44912,2,14,55160.00
44913,2,5,68200.62
44914,4,20,41219.12
44915,3,5,15489.90
44916,2,9,34062.52
44917,2,3,40373.30
44918,1,20,36080.00
44919,4,9,15969.89
44920,2,3,40897.92
44921,2,5,43694.00
44922,2,3,41441.14
44923,3,9,18108.23
44924,3,3,20826.02
44925,3,5,18147.40
44926,2,5,8173.20
44927,2,3,47624.48
44928,1,3,28166.30
44929,4,12,16320.11
44930,3,20,25497.55
44931,4,20,13828.98
44932,3,3,15952.62
44933,3,3,23009.20
44934,3,23,24609.01
44935,4,6,18551.66
44936,3,5,38156.80
44937,4,20,15151.16
44938,4,5,32220.90
44939,3,13,38461.52
44940,3,3,19790.88
44941,3,20,14865.29
44942,4,5,8848.88
44943,4,8,10060.62
44944,1,6,31692.82
44945,3,20,36851.54
44946,2,1,39549.48
44947,2,3,42063.86
44948,1,3,35859.40
44949,3,3,22521.00
44950,2,5,50165.26
44951,3,20,20228.65
44952,2,9,21101.94
44953,1,3,20870.14
44954,4,3,29485.22
44955,2,20,27686.32
44956,1,20,250.00
44957,2,9,27840.04
44958,1,3,34035.34
44959,2,5,68260.92
44960,2,3,30533.28
44961,2,20,44358.72
44962,3,5,40020.70
44963,3,6,24186.65
44964,4,3,30742.88
44965,1,16,40133.10
44966,1,3,20105.48
44967,4,20,19497.21
44968,2,5,22585.44
44969,1,8,18470.61
44970,2,3,31290.56
44971,1,5,25599.70
44972,1,20,17946.40
44973,3,20,22329.44
44974,1,3,30596.01
44975,3,0,27048.25
44976,3,20,36668.24
44977,1,20,250.00
44978,4,12,28336.35
44979,3,18,34769.20
44980,1,5,23310.80
44981,4,5,74348.34
44982,4,3,8783.66
44983,2,20,47306.42
44984,3,20,22430.50
44985,1,14,27152.80
44986,2,20,18368.00
44987,3,3,21664.82
44988,4,5,26808.60
44989,1,9,16058.03
44990,3,5,11907.54
44991,2,23,61258.56
44992,3,3,25420.96
44993,2,3,36517.60
44994,1,3,23763.14
44995,4,5,13985.10
44996,1,5,138460.80
44997,3,3,17362.40
44998,1,17,30454.00
44999,3,3,40089.32
45000,1,3,15351.86
45001,2,5,19383.18
45002,2,5,116658.32
45003,1,1,38334.60
45004,4,5,30947.01
45005,4,12,36886.08
45006,4,5,24139.60
45007,3,8,48393.16
45008,2,5,38597.88
45009,3,6,36968.34
45010,4,12,16009.02
45011,3,5,16239.13
45012,4,20,20598.48
45013,1,3,28827.18
45014,4,5,136350.18
45015,1,9,30915.28
45016,4,3,15454.18
45017,2,5,72883.34
45018,2,3,41901.58
45019,1,5,21171.40
45020,1,5,24726.20
45021,1,5,19238.40
45022,4,18,16327.19
45023,3,3,22449.40
45024,2,3,2387.58
45025,3,3,18908.80
45026,3,20,35330.78
45027,3,13,9962.14
45028,3,9,26250.02
45029,3,5,14508.84
45030,3,20,33625.96
45031,4,5,25875.91
